S.N.,Symbol,Company,Ratio,Units,Price,Opening Date,Closing Date,Book Closure Date,Listing Date,Issue Manager,Status,View,Eligibility Check
81,UMB,Unnati Laghubitta Bittiya Sanstha Limited,5:1,"110,000.00",100.00,2019-02-25,2019-03-31,2019-01-30,2019-06-07,Siddhartha Capital Ltd.,Closed,,
82,IGIL,IME General Insurance Limited,10:8,"4,320,000.00",100.00,2019-01-01,2019-02-04,2018-11-25,2019-04-02,Global IME Capital Ltd.,Closed,,
83,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,1:1,"1,600,000.00",100.00,2018-12-09,2019-01-13,2018-11-23,2019-04-09,Nabil Investment Banking Ltd.,Closed,,
84,EIC,Everest Insurance Company Limited,1: 1.05,"1,403,325.00",100.00,2018-12-02,2019-01-06,2018-11-13,2019-02-26,Siddhartha Capital Ltd.,Closed,,
85,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,2:1,"300,000.00",100.00,2018-11-27,2018-12-31,2018-11-14,2020-07-28,Sunrise Capital Limited,Closed,,
86,KMFL,Kisan Microfinance Bittiya Sanstha Limited,2:1,"240,250.00",100.00,2018-11-18,2018-12-23,2018-10-30,2019-02-21,Civil Capital Market Ltd.,Closed,,
87,SDESI,Swadeshi Laghubitta Bittiya Sanstha Limited,1:1,"1,150,000.00",100.00,2018-10-09,2018-11-12,2018-09-10,2019-01-08,NIC Asia Capital Limited,Closed,,
88,CEFL,City Express Finance Limited (former Kuber Merchant Finance),1:1.67,"2,500,000.00",100.00,2018-08-16,2018-09-20,2018-08-06,2019-02-06,Kathmandu Capital Market Limited,Closed,,
89,NCCB,Nepal Credit and Commerce Bank Limited,2:1,"23,395,292.00",100.00,2018-08-19,2018-10-08,2018-07-31,2019-02-10,Sunrise Capital Limited,Closed,,
90,JEFL,Jebils Finance Limited,10:4,"2,311,650.00",100.00,2018-06-24,2018-08-13,2018-06-06,2019-06-20,Sunrise Capital Limited,Closed,,
91,NNLB,Naya Nepal Laghubitta Bikas Bank Limited,1:2.5,"600,000.00",100.00,2018-08-11,2018-09-16,2018-07-23,2019-02-06,NMB Capital Limited,Closed,,
92,PROFL,Progressive Finance Limited,1:2.81,"5,901,000.00",100.00,2018-08-20,2018-10-09,2018-08-08,2019-05-14,Sunrise Capital Ltd,Closed,,
93,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,1:1,"1,224,978.00",100.00,2018-07-28,2018-09-02,2018-07-12,2018-12-11,NMB Capital Limited,Closed,,
94,NBBL,Nagbeli Laghubitta Bikash Bank Limited,1:1,"766,463.00",100.00,2018-07-20,2018-08-23,2018-07-05,2019-01-09,NMB Capital Limited,Closed,,
95,SIL,Siddhartha Insurance Limited,10:3.5,"2,244,974.00",100.00,2018-06-30,2018-08-05,2018-05-15,2017-08-25,NMB Capital Limited,Closed,,
96,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,5:3,"2,159,700.00",100.00,2018-06-30,2018-08-05,2018-06-05,,NIBL ACE Capital Ltd.,Closed,,
97,NLICL,National Life Insurance Company Limited,10:6,"9,936,477.50",100.00,2018-07-17,2018-09-04,2018-07-06,2018-12-11,NIBL ACE Capital Limited,Closed,,
98,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,2:1,"189,600.00",100.00,2018-07-11,2018-08-14,2018-06-26,,NIBL ACE Capital Ltd,Closed,,
99,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,1:1,"450,000.00",99.00,2018-07-10,2018-08-14,2018-06-01,2018-08-22,NIBL ACE Capital Limited,Closed,,
100,SYFL,Synergy Finance Limited,1:0.25,"1,186,022.47",100.00,2018-07-08,2018-08-28,2018-06-13,,Prabhu Capital Limited,Closed,,
101,PRIN,Prabhu Insurance Company Limited,1:0.46,"3,166,678.00",100.00,2018-06-21,2018-07-26,2018-05-28,,Prabhu Capital Ltd.,Closed,,
102,WOMI,Womi Laghubitta Bittiya Sanstha Limited,10:3,"233,280.00",100.00,2018-05-29,2018-07-03,2018-05-18,2018-09-13,Siddhartha Capital Limited,Closed,,
103,SLICL,Surya Life Insurance Company Limited,10:4,"2,887,500.00",100.00,2018-05-13,2018-06-17,2018-04-18,2018-09-02,NIC Asia Capital Limited,Closed,,
104,KBL,Kumari Bank Limited,10:2,"11,938,992.00",100.00,2018-05-10,2018-06-14,2018-04-23,,NIBL Capital Market Limited,Closed,,
105,NICL,Nepal Insurance Company Limited,1:1,"3,019,886.10",100.00,2018-04-17,2018-05-21,2018-04-06,2018-07-17,NIBL Capital Market Ltd.,Closed,,
106,SHBL,Sahara Bikas Bank Limited,1:2.5,"1,824,870.00",100.00,2018-05-19,2018-07-08,2018-04-23,2021-03-29,NIBL Capital Market Limited,Closed,,
107,DBBL,Deva Bikas Bank Limited,10:4,"6,533,108.59",100.00,2018-04-08,2018-05-13,2018-03-01,,NIBL Capital Market Ltd.,Closed,,
108,MFIL,Manjushree Finance Limited,100:5,"362,190.00",100.00,2018-03-21,2018-04-24,2018-02-21,,Ace Capital Limited,Closed,,
109,PLIC,Prime Life Insurance Company Limited,1:1.60,"9,763,200.00",100.00,2018-03-10,2018-04-14,2018-03-01,2023-08-03,Siddhartha Capital Limited,Closed,,
110,SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,1:0.7,"280,000.00",100.00,2018-03-08,2018-04-11,2018-02-09,,Global IME Capital Limited,Closed,,
111,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,2:1,"2,281,313.00",100.00,2018-03-01,2018-04-05,2018-01-23,,Global IME Capital Limited,Closed,,
112,ALICL,Asian Life Insurance Company Limited,2:1,"4,027,966.00",100.00,2018-02-24,2018-04-14,2018-01-22,2018-06-21,NIBL Ace Capital Limited,Closed,,
113,SBL,Siddhartha Bank Limited,10:1,"6,826,117.00",100.00,2018-02-13,2018-03-19,2018-02-05,,Laxmi Capital Market Limited,Closed,,
114,NIL,Neco Insurance Limited,2:1,"3,920,928.00",100.00,2018-02-08,2018-03-14,2018-01-23,2018-06-21,NMB Capital Limited,Closed,,
115,KSBBL,Kamana Sewa Bikas Bank Limited,10:1.5,"3,094,155.00",100.00,2018-01-28,2018-03-18,2018-01-17,,NMB Capital Limited,Closed,,
116,SIFC,Shree Investment Finance Company Limited,10:8.3,"2,867,226.00",100.00,2018-01-28,2018-03-03,2018-01-14,,Siddhartha Capital Limited,Closed,,
117,LBBL,Lumbini Bikas Bank Limited,10:1,"2,008,878.00",100.00,2018-01-24,2018-03-06,2018-01-05,,Prabhu Capital Limited,Closed,,
118,KRBL,Karnali Development Bank Limited,1:2.25,"3,397,500.00",100.00,2018-01-24,2018-03-14,2018-01-04,,Prabhu Capital Limited,Closed,,
119,PRVU,Prabhu Bank Limited,10:4,"23,525,608.00",100.00,2018-01-20,2018-03-06,2018-01-05,,Sunrise Capital Limited,Closed,,
120,GRDBL,Green Development Bank Limited,1:4,"4,000,000.00",100.00,2018-01-15,2018-03-06,2018-01-01,,Laxmi Capital Market Limited,Closed,,
121,PFL,Pokhara Finance Limited,1:0.15,"983,683.00",100.00,2018-01-13,2018-02-17,2017-12-29,2018-05-18,NIBL Capital Market Limited,Closed,,
122,CFCL,Central Finance Limited,2:1,"2,603,314.00",100.00,2018-01-06,2018-02-24,2017-12-19,2018-06-21,NIBL Capital Market Limited,Closed,,
123,PICL,Prudential Insurance Company Limited,10:3,"1,283,040.00",100.00,2017-12-30,2018-02-03,2017-12-01,2018-04-12,NIC Asia Capital Limited,Closed,,
124,SADBL,Shangrila Development Bank Limited,10:8,"10,867,799.00",100.00,2017-12-31,2018-02-11,2017-12-13,,Prabhu Capital Limited,Closed,,
125,GDBL,Gandaki Bikas Bank Limited,4:1,"4,609,816.00",100.00,2017-12-21,2018-01-24,2017-12-01,2018-04-19,Prabhu Capital Limited,Closed,,
126,CBL,Civil Bank Limited,10:4,"20,740,888.00",100.00,2017-12-07,2018-01-25,2017-11-21,,Laxmi Capital Market Ltd,Closed,,
127,RLFL,Reliance Finance Limited,10:4.5,"2,306,572.00",100.00,2017-12-07,2018-01-25,2017-11-24,2019-05-28,Sunrise Capital Limited,Closed,,
128,MMDBL,Mount Makalu Development Bank Limited,2:1,"345,800.00",100.00,2017-11-22,2017-12-26,2017-11-03,,NIBL Capital Market Limited,Closed,,
129,BHBL,Bhargav Bikash Bank Limited,10:8,"2,112,000.00",100.00,2017-11-09,2017-12-28,2017-11-01,,NMB Capital Ltd,Closed,,
130,GMFIL,Guheswori Merchant Banking & Finance Limited,10:4,"1,973,929.00",100.00,2017-10-28,2017-12-03,2017-10-13,2018-03-15,NIBL Capital Market Limited,Closed,,
131,ODBL,Om Development Bank Limited,10:3,"4,931,835.00",100.00,2017-10-08,2017-11-11,2017-09-15,,NIBL Capital Market Ltd.,Closed,,
132,NCDB,Nepal Community Development Bank Limited,1:1.2,"2,643,539.00",100.00,2017-10-11,2017-11-14,2017-10-04,,NIBL Capital Market Ltd.,Closed,,
133,EDBL,Excel Development Bank Limited,2:1,"1,922,813.00",100.00,2017-10-03,2017-11-06,2017-09-06,,Ace Capital Ltd.,Closed,,
134,KMFL,Kisan Microfinance Bittiya Sanstha Limited,100:24.2,"78,000.00",100.00,2017-09-19,2017-10-23,2017-08-27,2017-12-28,Civil Capital Market Ltd,Closed,,
135,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,1:2,"2,300,000.00",100.00,2017-09-17,2017-11-05,2017-09-01,,NIBL Capital Market Ltd,Closed,,
136,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,1:1,"725,000.00",100.00,2017-09-13,2017-10-17,2017-08-25,,Sanima Capital Limited,Closed,,
137,JEFL,Jebils Finance Limited,1:1,"2,889,563.00",100.00,2017-09-16,2017-11-05,2017-08-30,2018-02-15,Sunrise Capital Limited,Closed,,
138,BFC,Best Finance Company Limited,1:1.3,"1,652,850.00",100.00,2017-09-11,2017-10-30,2017-08-10,,Global IME Capital Ltd.,Closed,,
139,MEGA,Mega Bank Nepal Limited,10:6.5,"29,785,036.00",100.00,2017-09-11,2017-10-30,2017-01-19,2018-01-03,Nabil Investment Banking Ltd.,Closed,,
140,KEBL,Kabeli Bikas Bank Limited,2:1,"350,880.00",100.00,2017-09-02,2017-10-31,2017-08-03,,Global IME Capital Ltd,Closed,,
141,SINDU,Sindhu Bikas Bank Limited,10:8,"2,097,540.00",100.00,2017-09-02,2017-10-21,2017-08-25,,NIBL Capital Market Ltd,Closed,,
142,KADBL,Kanchan Development Bank Limited,10:3,"1,039,500.00",100.00,2017-07-13,2017-08-16,2017-06-15,,Global IME Capital Ltd,Closed,,
143,LGIL,Lumbini General Insurance Limited,1:1,"3,900,000.00",100.00,2017-07-13,2017-08-16,2017-06-27,,CBIL Capital Ltd.,Closed,,
144,HATH,Hathway Finance Company Limited,1:1,"1,500,000.00",100.00,2017-08-21,2017-09-24,2017-07-24,,Global IME Capital Limited,Closed,,
145,MNBBL,Muktinath Bikas Bank Limited,10:4,"6,170,865.00",100.00,2017-08-19,2017-09-23,2017-08-04,,NIBL Capital Market Ltd.,Closed,,
146,SHPC,Sanima Mai Hydropower Limited,1:1,"10,550,000.00",100.00,2017-08-10,2017-09-13,2017-07-25,,Sunrise Capital Ltd,Closed,,
147,KNBL,Kankai Bikas Bank Limited,1:2.1,"3,210,000.00",100.00,2017-07-23,2017-08-26,2017-07-03,2017-11-16,Siddhartha Capital Ltd.,Closed,,
148,CCBL,Century Commercial Bank Limited,10:4,"18,854,256.00",100.00,2017-07-30,2017-09-17,2017-07-11,,Civil Capital Market Limited,Closed,,
149,MBL,Machhapuchchhre Bank Limited,10:1.2,"7,918,440.00",100.00,2017-07-19,2017-08-22,2017-05-30,,NMB Capital Ltd.,Closed,,
150,EBL,Everest Bank Limited,3:1,"15,088,087.00",100.00,2017-07-01,2017-08-05,2017-06-21,,NIBL Capital Markets Limited,Closed,,
151,PURBL,Purnima Bikas Bank Limited,4:1,"880,963.00",100.00,2017-07-02,2017-08-05,2017-05-30,,Siddhartha Capital Limited,Closed,,
152,MBL,Machhapuchchhre Bank Limited,10:1.2,"7,918,440.00",100.00,2017-07-19,2017-08-22,2017-05-30,,NMB Capital Ltd.,Closed,,
153,SKDBL,Saptakoshi Development Bank Limited,1:1.3,"2,743,000.00",100.00,2017-07-13,2017-08-24,2017-06-28,,NMB Capital Ltd.,Closed,,
154,HGI,Himalayan General Insurance Company Limited,1:1.7,"6,420,000.00",100.00,2017-07-11,2017-08-24,2017-06-30,2017-12-12,NMB Capital Ltd.,Closed,,
155,GILB,Global IME Laghubitta Bittiya Sanstha Limited,2:1,"282,500.00",100.00,2017-07-08,2017-08-12,2017-06-30,,Civil Capital Market Ltd.,Closed,,
156,ALDBL,Alpine Development Bank Limited,3:2.1,"2,600,754.00",100.00,2017-07-08,2017-08-12,2017-06-04,,NMB Capital Ltd.,Closed,,
157,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,2:1,"150,000.00",100.00,2017-06-18,2017-07-22,2017-05-31,2017-09-14,Prabhu Capital Ltd.,Closed,,
158,IGIL,IME General Insurance Limited,1:1,"2,700,000.00",100.00,2017-06-18,2017-07-23,2017-05-18,2017-10-09,Global IME Capital Ltd.,Closed,,
159,SRBL,Sunrise Bank Limited,10:3,"16,359,636.00",100.00,2017-05-29,2017-07-02,2017-05-13,,Prabhu Capital Ltd.,Closed,,
160,SBL,Siddhartha Bank Limited,10:3,"15,752,578.00",100.00,2017-06-07,2017-07-11,2017-05-30,,Laxmi Capital Market Ltd,Closed,,
161,HAMRO,Hamro Bikas Bank Limited,1:2,"3,058,339.00",100.00,2017-05-20,2017-06-24,2017-04-24,,NIBL Capital Markets Ltd.,Closed,,
162,GUFL,Gurkhas Finance Limited,2:1,"2,893,313.00",100.00,2017-05-14,2017-06-24,2017-05-03,,NIBL Capital Markets Ltd.,Closed,,
163,SBI,Nepal SBI Bank Limited,10:4,"19,919,424.00",100.00,2017-05-20,2017-06-24,2017-05-09,2017-08-20,NMB Capital Ltd.,Closed,,
164,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,100:50,"349,994.00",100.00,2017-06-14,2017-07-18,2017-05-31,2017-09-14,NMB Capital Limited,Closed,,
165,KMBL,Kamana Bikas Bank Limited,10:3,"2,413,137.00",100.00,2017-06-24,2017-07-29,2017-06-13,,NIBL Capital Market Ltd.,Closed,,
166,SBBLJ,Sahayogi Vikas Bank Limited,10:3.5,"1,101,135.00",100.00,2017-05-14,2017-06-17,2017-04-28,,NCM Merchant Banking Ltd.,Closed,,
167,SIL,Siddhartha Insurance Limited,5.2:1,"862,125.00",100.00,2017-05-10,2017-06-13,2017-04-28,,Laxmi Capital Market Ltd.,Closed,,
168,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,2:1,"1,322,500.00",100.00,2017-05-10,2017-06-13,2017-04-12,,Global IME Capital Limited,Closed,,
169,JBBL,Jyoti Bikash Bank Limited,1:1,"11,043,171.00",100.00,2017-05-10,2017-06-13,2017-04-27,,Siddhartha Capital Limited,Closed,,
170,TNBL,Tinau Development Bank Limited,10:3.5,"1,194,796.00",100.00,2017-05-01,2017-06-04,2017-04-19,,Siddhartha Capital Limited,Closed,,
171,NBB,Nepal Bangladesh Bank Limited,10:8,"32,094,068.00",100.00,2017-04-19,2017-05-23,2017-03-30,2021-03-18,Global IME Capital Limited,Closed,,
172,SANIMA,Sanima Bank Limited,10:3,"15,917,617.00",100.00,2017-04-29,2017-06-03,2017-03-31,,CBIL Capital Ltd.,Closed,,
173,GBBL,Garima Bikas Bank Limited,10:7,"9,076,297.00",100.00,2017-04-26,2017-05-30,2017-04-12,2017-07-17,Ace Capital Limited,Closed,,
174,NBL,Nepal Bank Limited,100:23.74,"15,431,840.00",100.00,2017-04-19,2017-05-23,2017-04-11,2017-07-24,Civil Capital Market lImited,Closed,,
